station_abbr;reference_timestamp;Air temperature 2 m above ground hourly mean;Relative air humidity 2 m above ground hourly mean;Atmospheric pressure at barometric altitude (QFE) hourly mean;Wind direction hourly mean;Wind speed scalar hourly mean in m/s;Wind speed scalar hourly mean in km/h;Precipitation hourly total;Global radiation hourly mean
BAS;01.01.2020 00:00;-0.8;93.9;995.2;108.0;1.7;6.1;0.0;0
BAS;01.01.2020 01:00;-1.4;92.9;994.5;79.0;1.6;5.8;0.0;0
BAS;01.01.2020 02:00;-1.6;91.8;994.4;180.0;0.5;1.8;0.0;0
BAS;01.01.2020 03:00;-1.5;91.8;994.2;117.0;1.4;5.0;0.0;0
BAS;01.01.2020 04:00;-1.7;92.5;994.1;113.0;1.6;5.8;0.0;0
BAS;01.01.2020 05:00;-1.8;91.4;993.8;100.0;1.8;6.5;0.0;0
BAS;01.01.2020 06:00;-1.9;90.3;993.8;98.0;0.7;2.5;0.0;0
BAS;01.01.2020 07:00;-2.4;92.5;994.1;81.0;0.7;2.5;0.0;0
BAS;01.01.2020 08:00;-2.0;91.9;994.1;86.0;1.5;5.4;0.0;12
BAS;01.01.2020 09:00;-1.2;89.3;994.5;84.0;0.9;3.2;0.0;102
BAS;01.01.2020 10:00;-0.6;88.2;994.8;270.0;0.8;2.9;0.0;216
BAS;01.01.2020 11:00;0.8;83.9;994.6;243.0;0.4;1.4;0.0;288
BAS;01.01.2020 12:00;2.3;77.6;994.1;103.0;1.7;6.1;0.0;322
BAS;01.01.2020 13:00;3.0;75.2;993.5;108.0;2.3;8.3;0.0;296
BAS;01.01.2020 14:00;2.5;77.6;993.2;104.0;2.9;10.4;0.0;211
BAS;01.01.2020 15:00;1.9;79.3;993.3;98.0;2.8;10.1;0.0;80
BAS;01.01.2020 16:00;1.1;81.9;993.4;97.0;2.4;8.6;0.0;19
BAS;01.01.2020 17:00;0.1;86.7;993.6;101.0;2.2;7.9;0.0;0
BAS;01.01.2020 18:00;-0.3;88.4;993.8;95.0;3.4;12.2;0.0;0
BAS;01.01.2020 19:00;-0.4;89.1;993.9;93.0;3.4;12.2;0.0;0
BAS;01.01.2020 20:00;-0.6;88.9;993.7;97.0;3.4;12.2;0.0;0
BAS;01.01.2020 21:00;-0.6;87.2;993.6;99.0;3.1;11.2;0.0;0
BAS;01.01.2020 22:00;-1.0;88.9;993.4;95.0;2.3;8.3;0.0;0
BAS;01.01.2020 23:00;-1.3;89.8;993.4;120.0;1.7;6.1;0.0;0
BAS;02.01.2020 00:00;-1.4;89.2;993.0;101.0;2.2;7.9;0.0;0
BAS;02.01.2020 01:00;-1.5;89.6;992.9;100.0;2.3;8.3;0.0;0
BAS;02.01.2020 02:00;-1.6;89.4;992.8;106.0;2.6;9.4;0.0;0
BAS;02.01.2020 03:00;-1.6;90.3;992.8;100.0;2.9;10.4;0.0;0
BAS;02.01.2020 04:00;-1.7;90.2;992.6;100.0;3.1;11.2;0.0;0
BAS;02.01.2020 05:00;-1.5;89.4;992.3;93.0;3.5;12.6;0.0;0
BAS;02.01.2020 06:00;-1.5;89.7;992.2;88.0;3.7;13.3;0.0;0
BAS;02.01.2020 07:00;-1.7;89.9;992.5;99.0;2.7;9.7;0.0;0
BAS;02.01.2020 08:00;-1.8;90.4;992.5;102.0;2.5;9.0;0.0;12
BAS;02.01.2020 09:00;-1.1;89.2;992.7;102.0;2.6;9.4;0.0;102
BAS;02.01.2020 10:00;0.0;86.1;992.9;102.0;3.1;11.2;0.0;219
BAS;02.01.2020 11:00;1.2;82.5;992.7;106.0;2.6;9.4;0.0;292
BAS;02.01.2020 12:00;2.1;80.3;991.9;100.0;3.0;10.8;0.0;320
BAS;02.01.2020 13:00;2.7;77.6;991.0;95.0;3.9;14.0;0.0;295
BAS;02.01.2020 14:00;2.8;78.0;990.7;104.0;3.1;11.2;0.0;212
BAS;02.01.2020 15:00;2.3;80.4;990.5;110.0;3.1;11.2;0.0;80
BAS;02.01.2020 16:00;1.2;85.6;990.5;108.0;3.3;11.9;0.0;21
BAS;02.01.2020 17:00;0.5;88.5;990.6;105.0;3.0;10.8;0.0;0
BAS;02.01.2020 18:00;0.2;89.6;991.0;105.0;2.7;9.7;0.0;0
BAS;02.01.2020 19:00;0.1;90.0;991.4;102.0;2.9;10.4;0.0;0
BAS;02.01.2020 20:00;0.2;90.3;991.2;100.0;3.5;12.6;0.0;0
BAS;02.01.2020 21:00;0.4;89.4;990.9;94.0;4.1;14.8;0.0;0
BAS;02.01.2020 22:00;0.5;89.0;990.8;95.0;3.8;13.7;0.0;0
BAS;02.01.2020 23:00;0.7;88.9;990.6;95.0;3.8;13.7;0.0;0
BAS;03.01.2020 00:00;0.9;89.0;990.3;92.0;3.5;12.6;0.0;0
BAS;03.01.2020 01:00;0.9;89.2;990.0;98.0;2.8;10.1;0.0;0
BAS;03.01.2020 02:00;1.0;89.2;989.6;101.0;2.7;9.7;0.0;0
BAS;03.01.2020 03:00;1.0;89.6;989.0;102.0;3.0;10.8;0.0;0
BAS;03.01.2020 04:00;1.3;89.6;988.9;105.0;3.1;11.2;0.0;0
BAS;03.01.2020 05:00;1.5;89.2;988.7;105.0;2.8;10.1;0.0;0
BAS;03.01.2020 06:00;1.4;89.8;988.6;106.0;2.5;9.0;0.0;0
BAS;03.01.2020 07:00;1.3;90.7;988.6;100.0;2.8;10.1;0.0;0
BAS;03.01.2020 08:00;1.3;91.3;988.9;108.0;2.4;8.6;0.0;13
BAS;03.01.2020 09:00;1.6;89.6;989.3;106.0;1.8;6.5;0.0;96
BAS;03.01.2020 10:00;2.5;84.8;989.8;108.0;1.4;5.0;0.0;186
BAS;03.01.2020 11:00;5.1;75.7;989.6;180.0;2.1;7.6;0.0;288
BAS;03.01.2020 12:00;9.2;60.4;989.0;252.0;3.4;12.2;0.0;152
BAS;03.01.2020 13:00;9.3;60.2;988.3;268.0;3.2;11.5;0.0;139
BAS;03.01.2020 14:00;9.2;63.3;988.2;351.0;0.7;2.5;0.0;79
BAS;03.01.2020 15:00;9.0;66.6;988.7;45.0;0.7;2.5;0.0;30
BAS;03.01.2020 16:00;8.5;71.8;989.4;333.0;1.1;4.0;0.0;4
BAS;03.01.2020 17:00;7.6;87.2;990.2;281.0;1.7;6.1;0.1;0
BAS;03.01.2020 18:00;8.1;83.9;990.4;253.0;2.9;10.4;0.0;0
BAS;03.01.2020 19:00;7.9;82.2;990.9;214.0;0.6;2.2;0.0;0
BAS;03.01.2020 20:00;7.4;84.0;990.8;166.0;1.7;6.1;0.0;0
BAS;03.01.2020 21:00;7.5;79.7;991.1;225.0;1.8;6.5;0.0;0
BAS;03.01.2020 22:00;8.3;74.7;991.3;243.0;1.7;6.1;0.0;0
BAS;03.01.2020 23:00;8.3;75.5;991.5;227.0;2.6;9.4;0.0;0
BAS;04.01.2020 00:00;8.0;77.3;991.5;216.0;1.5;5.4;0.0;0
BAS;04.01.2020 01:00;8.5;76.7;991.4;232.0;2.3;8.3;0.0;0
BAS;04.01.2020 02:00;8.5;78.2;991.7;235.0;3.0;10.8;0.0;0
BAS;04.01.2020 03:00;8.6;78.5;991.8;234.0;3.1;11.2;0.0;0
BAS;04.01.2020 04:00;8.5;79.4;991.8;239.0;2.2;7.9;0.0;0
BAS;04.01.2020 05:00;8.4;81.3;991.8;246.0;2.5;9.0;0.0;0
BAS;04.01.2020 06:00;8.2;83.9;992.2;252.0;2.7;9.7;0.0;0
BAS;04.01.2020 07:00;8.0;86.6;992.6;257.0;2.7;9.7;0.0;0
BAS;04.01.2020 08:00;7.4;88.6;993.5;302.0;2.3;8.3;0.5;0
