parameter_shortname;parameter_description_en;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
dkl010d0;"Wind direction; daily mean";Wind;D;0;Integer;�
dkl010h0;"Wind direction; hourly mean";Wind;H;0;Integer;�
dkl010z0;"Wind direction; ten minutes mean";Wind;T;0;Integer;�
erefaod0;"Reference evaporation from FAO; daily total";evaporation;D;1;Float;mm/d
erefaoh0;"Reference evaporation from FAO; hourly total";evaporation;H;3;Float;mm/h
erefaom0;"Reference evaporation from FAO; monthly total";evaporation;M;1;Float;mm/d
erefaoy0;"Reference evaporation from FAO; annual total";evaporation;Y;1;Float;mm/d
fkl010d0;"Wind speed scalar; daily mean in m/s";Wind;D;1;Float;m/s
fkl010d1;"Gust peak (one second); daily maximum in m/s";Wind;D;1;Float;m/s
fkl010d3;"Gust peak (three seconds); daily maximum in m/s";Wind;D;1;Float;m/s
fkl010h0;"Wind speed scalar; hourly mean in m/s";Wind;H;1;Float;m/s
fkl010h1;"Gust peak (one second); hourly maximum in m/s";Wind;H;1;Float;m/s
fkl010h3;"Gust peak (three seconds); hourly maximum in m/s";Wind;H;1;Float;m/s
fkl010m0;"Wind speed scalar; monthly mean in m/s";Wind;M;1;Float;m/s
fkl010m1;"Gust peak (one second); monthly maximum in m/s";Wind;M;1;Float;m/s
fkl010y0;"Wind speed scalar; annual mean in m/s";Wind;Y;1;Float;m/s
fkl010y1;"Gust peak (one second); annual maximum in m/s";Wind;Y;1;Float;m/s
fkl010z0;"Wind speed scalar; ten minutes mean in m/s";Wind;T;1;Float;m/s
fkl010z1;"Gust peak (one second); maximum in m/s";Wind;T;1;Float;m/s
fkl010z3;"Gust peak (three seconds); maximum in m/s";Wind;T;1;Float;m/s
fu3010d0;"Wind speed scalar; daily mean in km/h";Wind;D;1;Float;km/h
fu3010d1;"Gust peak (one second); daily maximum in km/h";Wind;D;1;Float;km/h
fu3010d3;"Gust peak (three seconds); daily maximum in km/h";Wind;D;1;Float;km/h
fu3010h0;"Wind speed scalar; hourly mean in km/h";Wind;H;1;Float;km/h
fu3010h1;"Gust peak (one second); hourly maximum in km/h";Wind;H;1;Float;km/h
fu3010h3;"Gust peak (three seconds); hourly maximum in km/h";Wind;H;1;Float;km/h
fu3010m0;"Wind speed scalar; monthly mean in km/h";Wind;M;1;Float;km/h
fu3010m1;"Gust peak (one second); monthly maximum in km/h";Wind;M;1;Float;km/h
fu3010y0;"Wind speed scalar; annual mean in km/h";Wind;Y;1;Float;km/h
fu3010y1;"Gust peak (one second); annual maximum in km/h";Wind;Y;1;Float;km/h
fu3010z0;"Wind speed; ten minutes mean in km/h";Wind;T;1;Float;km/h
fu3010z1;"Gust peak (one second); maximum in km/h";Wind;T;1;Float;km/h
fu3010z3;"Gust peak (three seconds); maximum in km/h";Wind;T;1;Float;km/h
fve010h0;"Wind speed vectorial; hourly mean in m/s";Wind;H;1;Float;m/s
fve010z0;"Wind speed vectoriel; ten minutes mean in m/s";Wind;T;1;Float;m/s
gre000d0;"Global radiation; daily mean";Radiation;D;0;Integer;W/m�
gre000h0;"Global radiation; hourly mean";Radiation;H;0;Integer;W/m�
gre000m0;"Global radiation; monthly mean";Radiation;M;0;Integer;W/m�
gre000y0;"Global radiation; annual mean";Radiation;Y;0;Integer;W/m�
gre000z0;"Global radiation; ten minutes mean";Radiation;T;0;Integer;W/m�
htoautd0;"Snow depth (automatic measurement); morning measurement at 6 UTC";snow;D;0;Integer;cm
htoauths;"Snow depth (automatic measurement); hourly current value";snow;H;0;Integer;cm
htoauts0;"Snow depth (automatic measurement); current value";snow;T;0;Integer;cm
ods000d0;"Diffuse radiation; daily mean";Radiation;D;0;Integer;W/m�
ods000h0;"Diffuse radiation; hourly mean";Radiation;H;0;Integer;W/m�
ods000z0;"Diffuse radiation; ten minutes mean";Radiation;T;0;Integer;W/m�
oli000d0;"Longwave incoming radiation; daily mean";Radiation;D;0;Integer;W/m�
oli000h0;"Longwave incoming radiation; hourly mean";Radiation;H;0;Integer;W/m�
oli000m0;"Longwave incoming radiation; monthly mean";Radiation;M;0;Integer;W/m�
oli000y0;"Longwave incoming radiation; annual mean";Radiation;Y;0;Integer;W/m�
oli000z0;"Longwave incoming radiation; ten minutes mean";Radiation;T;0;Integer;W/m�
olo000d0;"Longwave outgoing radiation; daily mean";Radiation;D;0;Integer;W/m�
olo000h0;"Longwave outgoing radiation; hourly mean";Radiation;H;0;Integer;W/m�
olo000m0;"Longwave outgoing radiation; monthly mean";Radiation;M;0;Integer;W/m�
olo000y0;"Longwave outgoing radiation; yearly mean";Radiation;Y;0;Integer;W/m�
olo000z0;"Longwave outgoing radiation; ten minute mean";Radiation;T;0;Integer;W/m�
osr000d0;"Shortwave reflected radiation; daily mean";Radiation;D;0;Integer;W/m�
osr000h0;"Shortwave reflected radiation; hourly mean";Radiation;H;0;Integer;W/m�
osr000m0;"Shortwave reflected radiation; monthly mean";Radiation;M;0;Integer;W/m�
osr000y0;"Shortwave reflected radiation; yearly mean";Radiation;Y;0;Integer;W/m�
osr000z0;"Shortwave reflected radiation; ten minute mean";Radiation;T;0;Integer;W/m�
pp0qffd0;"Atmospheric pressure reduced to sea level (QFF); daily mean";Pressure;D;1;Float;hPa
pp0qffh0;"Atmospheric pressure reduced to sea level (QFF); hourly mean";Pressure;H;1;Float;hPa
pp0qffm0;"Atmospheric pressure reduced to sea level (QFF); monthly mean";Pressure;M;1;Float;hPa
pp0qffs0;"Atmospheric pressure reduced to sea level (QFF); current value";Pressure;T;1;Float;hPa
pp0qffy0;"Atmospheric pressure reduced to sea level (QFF); annual mean";Pressure;Y;1;Float;hPa
pp0qnhd0;"Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); daily mean";Pressure;D;1;Float;hPa
pp0qnhh0;"Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); hourly mean";Pressure;H;1;Float;hPa
pp0qnhm0;"Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); monthly mean";Pressure;M;1;Float;hPa
pp0qnhs0;"Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); current value";Pressure;T;1;Float;hPa
pp0qnhy0;"Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); annual mean";Pressure;Y;1;Float;hPa
